from,to
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Beast (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Mister Fantastic
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Daimon Hellstrom
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),She-Hulk
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Robert Kelly (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Wendigo (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Jessica Jones
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Proteus (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Kitty Pryde
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Mysterio
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Cassandra Nova
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Kingpin (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Mystique (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Northstar (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Genesis (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Ms. Marvel
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Ink (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Kestrel (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),War Machine
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Black Cat (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Henry Pym
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Sabretooth (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Squirrel Girl
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Storm (Marvel Comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Ursa Major (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Jean Grey
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Iron Fist (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Chameleon (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Forge (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Sharon Carter
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Maestro (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Doctor Doom
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Wolfsbane (comics)
Wolverine (character)|Wolverine (Ultimate Marvel character)|Logan (film series character),Red Skull
Killraven,Pete Wisdom
Killraven,Franklin Richards (Fantastic Four)
Killraven,Galactus
Killraven,Howard the Duck
Killraven,Ravage 2099
Killraven,Spider-Man
Cyber (Marvel Comics),Ricochet (comics)
Cyber (Marvel Comics),Jessan Hoan
Cyber (Marvel Comics),Dark Riders (comics)
Cyber (Marvel Comics),Dusk (comics)
Cyber (Marvel Comics),Daken
Cyber (Marvel Comics),Hornet (comics)
Cyber (Marvel Comics),Magneto (Marvel Comics)
Cyber (Marvel Comics),Shrew (comics)
Cyber (Marvel Comics),Strong Guy
Cyber (Marvel Comics),Genesis (Marvel Comics)
Cyber (Marvel Comics),Apocalypse (comics)
Cyber (Marvel Comics),Black Marvel
Cyber (Marvel Comics),Kaine Parker
Cyber (Marvel Comics),Ben Reilly
Cyber (Marvel Comics),Abraham Cornelius
Zarathos,Spider-Man
Zarathos,Centurious
Zarathos,Ghost Rider
Zarathos,Lilith (Marvel Comics)
Zarathos,Mephisto (comics)
Zarathos,Sin-Eater (comics)
Zarathos,Beyonder
Kiwi Black,Nightcrawler (comics)
Kiwi Black,Azazel (Marvel Comics)
Ani-Men#Original Ani-Men,High Evolutionary
Ani-Men#Original Ani-Men,Mole Man
Ani-Men#Original Ani-Men,Daredevil (Marvel Comics character)
Ani-Men#Original Ani-Men,Big Bertha (comics)
Ani-Men#Original Ani-Men,Jackal (Marvel Comics)
Ani-Men#Original Ani-Men,Komodo (comics)
Ani-Men#Original Ani-Men,Scourge of the Underworld
Ani-Men#Original Ani-Men,Hammerhead (comics)
Ani-Men#Original Ani-Men,Scarlet Spider
Ani-Men#Original Ani-Men,Spymaster (comics)
Motormouth (comics),Doctor Strange
Motormouth (comics),Sentinel (comics)
Motormouth (comics),Mephisto (comics)
Motormouth (comics),Killpower
Motormouth (comics),Black Canary
Motormouth (comics),Professor X
Motormouth (comics),Madman (Marvel Comics)
Motormouth (comics),Death's Head
Motormouth (comics),Faiza Hussain
Motormouth (comics),Captain Britain
Agent X (Marvel Comics),Outlaw (comics)
Agent X (Marvel Comics),Black Swan (comics)
Agent X (Marvel Comics),X-Statix
Agent X (Marvel Comics),"Bob, Agent of HYDRA"
Agent X (Marvel Comics),Cable (comics)
Agent X (Marvel Comics),Taskmaster (comics)
Agent X (Marvel Comics),Punisher
Recorder 451,Maria Stark
Recorder 451,Jimmy Woo
Recorder 451,Arno Stark
Recorder 451,Howard Stark
Recorder 451,Death's Head
Spyne,Storm (Marvel Comics)
Spyne,Cyber (Marvel Comics)
Spyne,Dark Riders (comics)
Spyne,Magneto (Marvel Comics)
Spyne,Domino (comics)
Spyne,Cable (comics)
Spyne,Jean Grey
Spyne,Caliban (comics)
Spyne,Cannonball (comics)
Spyne,Mister Sinister
Spyne,Apocalypse (comics)
Spyne,Selene (comics)
Ronan the Accuser,Rick Jones (comics)
Ronan the Accuser,Silver Surfer
Ronan the Accuser,Collector (comics)
Ronan the Accuser,Tana Nile
Ronan the Accuser,Quasar (comics)
Ronan the Accuser,Galactus
Ronan the Accuser,Nebula (comics)
Ronan the Accuser,Ego the Living Planet
Ronan the Accuser,Mister Fantastic
Ronan the Accuser,Thing (comics)
Ronan the Accuser,Crystal (comics)
Ronan the Accuser,U.S. Agent (comics)
Ronan the Accuser,Black Bolt
Ronan the Accuser,Super-Skrull
Ronan the Accuser,Ms. Marvel
Ronan the Accuser,Supreme Intelligence
Ronan the Accuser,Henry Pym
Jigsaw (Marvel Comics),Electro (Marvel Comics)
Jigsaw (Marvel Comics),Batman
Jigsaw (Marvel Comics),Henry Russo
Jigsaw (Marvel Comics),Daredevil (Marvel Comics character)
Jigsaw (Marvel Comics),Rampage (Marvel Comics)
Jigsaw (Marvel Comics),Russian (comics)
Jigsaw (Marvel Comics),Helmut Zemo
Jigsaw (Marvel Comics),Hood (comics)
Jigsaw (Marvel Comics),Barracuda (comics)
Jigsaw (Marvel Comics),Nightcrawler (comics)
Jigsaw (Marvel Comics),Punisher
Jigsaw (Marvel Comics),Death (Marvel Comics)
Jigsaw (Marvel Comics),Jackal (Marvel Comics)
Jigsaw (Marvel Comics),Karla Sofen
Jigsaw (Marvel Comics),Rev (comics)
Jigsaw (Marvel Comics),Spider-Man
Jigsaw (Marvel Comics),Lynn Michaels
Jigsaw (Marvel Comics),Punisher 2099
Jigsaw (Marvel Comics),Jessica Jones
Jigsaw (Marvel Comics),Bullseye (comics)
Jigsaw (Marvel Comics),Tigra
Jigsaw (Marvel Comics),Wonder Woman
Darkhawk,Captain Marvel (Marvel Comics)
Darkhawk,Sleepwalker (comics)
Darkhawk,Cloak and Dagger (comics)
Darkhawk,Ricochet (comics)
Darkhawk,Anya Corazon
Darkhawk,Death's Head
Darkhawk,Namorita
Darkhawk,Rick Jones (comics)
Darkhawk,Jason Macendale
Darkhawk,Chase Stein
Darkhawk,Black Bolt
Darkhawk,Blastaar
Darkhawk,Phil Urich
Darkhawk,Punisher
Darkhawk,Gardener (comics)
Darkhawk,Ultron
Darkhawk,Julie Power
Darkhawk,Sphinx (Marvel Comics)
Darkhawk,Hela (comics)
Darkhawk,Tombstone (comics)
Darkhawk,Moon Knight
Darkhawk,Mister Fantastic
Darkhawk,Thunderball (comics)
Darkhawk,Spider-Man
Darkhawk,Turbo (comics)
Darkhawk,Night Thrasher (Dwayne Taylor)
Darkhawk,Robbie Baldwin
Darkhawk,Annihilus
Darkhawk,Portal (comics)
Darkhawk,Foreigner (comics)
Darkhawk,Starfox (comics)
Darkhawk,Terror Inc.
Darkhawk,Arcade (Marvel Comics)
Darkhawk,Gravity (comics)
Pluto (Marvel Comics),Doctor Strange
Pluto (Marvel Comics),Ulik
Pluto (Marvel Comics),Venus (Marvel Comics)
Pluto (Marvel Comics),Hela (comics)
Pluto (Marvel Comics),Swordsman (comics)
Pluto (Marvel Comics),Valkyrie (Marvel Comics)
Pluto (Marvel Comics),Death (Marvel Comics)
Pluto (Marvel Comics),Daken
Pluto (Marvel Comics),Hebe (Marvel Comics)
Pluto (Marvel Comics),Thor (Marvel Comics)
Pluto (Marvel Comics),Thing (comics)
Pluto (Marvel Comics),Amatsu-Mikaboshi (comics)
Pluto (Marvel Comics),Hercules (Marvel Comics)
Pluto (Marvel Comics),Athena (Marvel Comics)
Pluto (Marvel Comics),Ares (Marvel Comics)
Pluto (Marvel Comics),Iron Monger
Pluto (Marvel Comics),Stranger (comics)
Deathlok,Sleepwalker (comics)
Deathlok,Red Skull
Deathlok,Ultimo (Marvel Comics)
Deathlok,Daredevil (Marvel Comics character)
Deathlok,Thing (comics)
Deathlok,Mentallo
Deathlok,John Garrett (comics)
Deathlok,Hood (comics)
Deathlok,Phil Coulson
Deathlok,Silvermane
Deathlok,Siege (John Kelly)
Deathlok,Punisher
Deathlok,Stranger (comics)
Deathlok,Quasar (comics)
Deathlok,Klaw (Marvel Comics)
Deathlok,Lex Luthor
Deathlok,Owl (Marvel Comics)
Deathlok,Mockingbird (Marvel Comics)
Deathlok,Iron Man 2020
Deathlok,Leo Fitz
Deathlok,Jemma Simmons
Deathlok,Misty Knight
Deathlok,Super-Skrull
Deathlok,Spider-Man
Deathlok,She-Hulk
Deathlok,Supreme Intelligence
Deathlok,Beyonder
Deathlok,Catwoman
Deathlok,Galactus
Deathlok,Silver Sable
Deathlok,Warwolf (Marvel Comics)
Deathlok,Arcade (Marvel Comics)
Deathlok,Bucky Barnes
Deathlok,Gravity (comics)
Blue Streak (comics),Justin Hammer
Blue Streak (comics),Dormammu
Blue Streak (comics),Firebrand (Marvel Comics)
Blue Streak (comics),Scourge of the Underworld
Blue Streak (comics),Hood (comics)
Blue Streak (comics),J2 (comics)
Blue Streak (comics),Punisher
Psycho-Man,Captain Marvel (Marvel Comics)
Psycho-Man,Silver Surfer
Psycho-Man,Storm (Marvel Comics)
Psycho-Man,She-Hulk
Psycho-Man,Spider-Man
Psycho-Man,Hate-Monger
Psycho-Man,Genis-Vell
Psycho-Man,Drax the Destroyer
Psycho-Man,Mister Fantastic
Psycho-Man,Howard the Duck
Psycho-Man,Frankenstein's Monster (Marvel Comics)
Psycho-Man,Thing (comics)
Psycho-Man,Invisible Woman
Psycho-Man,Ant-Man
Psycho-Man,Cyclops (Marvel Comics)
Psycho-Man,Nighthawk (Marvel Comics)
Psycho-Man,Deadpool
Holden Radcliffe,Daisy Johnson
Holden Radcliffe,Leo Fitz
Holden Radcliffe,Al MacKenzie
Holden Radcliffe,Jemma Simmons
Holden Radcliffe,Machine Teen
Holden Radcliffe,Melinda May
Holden Radcliffe,Yo-Yo Rodriguez
Dragon Lord (comics),Michael Van Patrick
Dragon Lord (comics),Taskmaster (comics)
Dragon Lord (comics),Dragon Man (comics)
Dragon Lord (comics),Sunfire (comics)
Bethany Cabe,Justin Hammer
Bethany Cabe,Living Laser
Bethany Cabe,Madame Masque
Bethany Cabe,Ultimo (Marvel Comics)
Bethany Cabe,War Machine
Bethany Cabe,Kang the Conqueror
Bethany Cabe,Blizzard (Marvel Comics)
Bethany Cabe,Thunderstrike (Eric Masterson)
Bethany Cabe,Whiplash (comics)
Bethany Cabe,Melter
Bethany Cabe,Pepper Potts
Bethany Cabe,Spymaster (comics)
Gideon Mace,David Griffith (comics)
Gideon Mace,Crossfire (comics)
Gideon Mace,Luke Cage
Gideon Mace,Spider-Man
Lady Lotus,Warrior Woman (Marvel Comics)
Lady Lotus,Nomad (comics)
Lady Lotus,Miss America (Madeline Joyce)
Lady Lotus,Yellow Claw (comics)
Lady Lotus,Wonder Man
Lady Lotus,Baron Blood
Lady Lotus,U-Man
Lady Lotus,Spitfire (comics)
Shalla-Bal,Elders of the Universe
Shalla-Bal,Silver Surfer
Shalla-Bal,Galactus
Shalla-Bal,Obliterator (comics)
Shalla-Bal,Mister Fantastic
Shalla-Bal,Invisible Woman
Shalla-Bal,Doctor Doom
Shalla-Bal,Mephisto (comics)
Alicia Masters,Silver Surfer
Alicia Masters,Mole Man
Alicia Masters,Franklin Richards (Fantastic Four)
Alicia Masters,Galactus
Alicia Masters,J. Jonah Jameson
Alicia Masters,Wizard (Marvel Comics)
Alicia Masters,Thing (comics)
Alicia Masters,Doctor Doom
Alicia Masters,Mad Thinker
Alicia Masters,Puppet Master (Marvel Comics)
Killer Shrike,Electro (Marvel Comics)
Killer Shrike,Eric O'Grady#Black Ant
Killer Shrike,Ringer (comics)
Killer Shrike,Titanium Man
Killer Shrike,Hobgoblin (comics)
Killer Shrike,Helmut Zemo
Killer Shrike,Kraven the Hunter
Killer Shrike,Modular Man
Killer Shrike,Coachwhip (comics)
Killer Shrike,Black Cat (Marvel Comics)
Killer Shrike,Taskmaster (comics)
Killer Shrike,Grasshopper (comics)
Killer Shrike,Phil Urich
Killer Shrike,Roderick Kingsley
Killer Shrike,Moon Knight
Killer Shrike,Swarm (comics)
Killer Shrike,Spider-Man
Killer Shrike,She-Hulk
Killer Shrike,Frenchie (comics)
Killer Shrike,Ulysses Bloodstone
Killer Shrike,Justin Hammer
Killer Shrike,Grey Gargoyle
Killer Shrike,Dragon Man (comics)
Killer Shrike,Unicorn (Marvel Comics)
Killer Shrike,Arcade (Marvel Comics)
Killer Shrike,Melter
Dallas Riordan,Erik Josten
Dallas Riordan,Baron Zemo
Dallas Riordan,Wonder Man
Dallas Riordan,Graviton (comics)
Dallas Riordan,Fixer (comics)
Dallas Riordan,Henry Peter Gyrich
Dallas Riordan,Abner Jenkins
Dallas Riordan,Doctor Doom
Dallas Riordan,Citizen V
Dallas Riordan,Scourge of the Underworld
Delphyne Gorgon,Atalanta (Pantheon)
Delphyne Gorgon,Jubilee (comics)
Delphyne Gorgon,Hebe (Marvel Comics)
Delphyne Gorgon,Pixie (X-Men)
Delphyne Gorgon,Amatsu-Mikaboshi (comics)
Delphyne Gorgon,Hercules (Marvel Comics)
Delphyne Gorgon,Athena (Marvel Comics)
Delphyne Gorgon,Amadeus Cho
Comet Man,Genis-Vell
Carol Danvers,Captain Marvel (Marvel Comics)
Carol Danvers,Dormammu
Carol Danvers,Immortus
Carol Danvers,Enchantress (Marvel Comics)
Carol Danvers,Yon-Rogg
Carol Danvers,Mahr Vehl
Carol Danvers,Mystique (comics)
Carol Danvers,Thing (comics)
Carol Danvers,Quicksilver (comics)
Carol Danvers,Invisible Woman
Carol Danvers,Gateway (comics)
Carol Danvers,Anya Corazon
Carol Danvers,Ms. Marvel
Carol Danvers,Lady Deathstrike
Carol Danvers,Sunfire (comics)
Carol Danvers,Valkyrie (Marvel Comics)
Carol Danvers,War Machine
Carol Danvers,Magneto (Marvel Comics)
Carol Danvers,Kang the Conqueror
Carol Danvers,Rogue (comics)
Carol Danvers,Apocalypse (comics)
Carol Danvers,Huntress (comics)
Carol Danvers,Green Arrow
Carol Danvers,Henry Pym
Carol Danvers,Punisher
Carol Danvers,Silver Surfer
Carol Danvers,Ultron
Carol Danvers,Captain Marvel (DC Comics)
Carol Danvers,Silver Samurai
Carol Danvers,Jean Grey
Carol Danvers,Rocket Raccoon
Carol Danvers,Wasp (comics)
Carol Danvers,Ronan the Accuser
Carol Danvers,Spider-Man
Carol Danvers,She-Hulk
Carol Danvers,Power Princess
Carol Danvers,Chameleon (comics)
Carol Danvers,Captain Britain
Carol Danvers,Donald Pierce
Carol Danvers,Wonder Man
Carol Danvers,Jessica Jones
Carol Danvers,MODOK
Carol Danvers,Professor X
Carol Danvers,Hyperion (comics)
Carol Danvers,Hulkling
Carol Danvers,Red Skull
Beetle (comics),Electro (Marvel Comics)
Beetle (comics),Absorbing Man
Beetle (comics),Ringer (comics)
Beetle (comics),Thing (comics)
Beetle (comics),Leila Davis
Beetle (comics),Stegron
Beetle (comics),Abner Jenkins
Beetle (comics),Black Cat (Marvel Comics)
Beetle (comics),Roderick Kingsley
Beetle (comics),Overmind (comics)
Beetle (comics),Bolivar Trask
Beetle (comics),Tombstone (comics)
Beetle (comics),J. Jonah Jameson
Beetle (comics),Hydro-Man
Beetle (comics),Spider-Man
Beetle (comics),Graviton (comics)
Beetle (comics),Bucky Barnes
Beetle (comics),Venom (Marvel Comics character)
Beetle (comics),Doctor Octopus
GoGo Tomago,Silver Samurai
GoGo Tomago,Honey Lemon
Ultron,Phyla-Vell
Ultron,Yellowjacket (Marvel Comics)
Ultron,Ultimo (Marvel Comics)
Ultron,Scientist Supreme
Ultron,Grim Reaper (comics)
Ultron,Thing (comics)
Ultron,Quicksilver (comics)
Ultron,Invisible Woman
Ultron,Cable (comics)
Ultron,Arsenal (Marvel Comics)
Ultron,Erik Josten
Ultron,Doctor Spectrum
Ultron,J.A.R.V.I.S.
Ultron,Magneto (Marvel Comics)
Ultron,Human Torch (android)
Ultron,Maximus (comics)
Ultron,Kang the Conqueror
Ultron,Deadpool
Ultron,ISAAC (comics)
Ultron,Edwin Jarvis
Ultron,Silver Surfer
Ultron,Victor Mancha
Ultron,Mockingbird (Marvel Comics)
Ultron,Warlock (New Mutants)
Ultron,Old Man Logan
Ultron,Black Talon (comics)
Ultron,Spider-Man
Ultron,Ares (Marvel Comics)
Ultron,Annihilus
Ultron,Morgan le Fay (Marvel Comics)
Ultron,Beyonder
Ultron,Man-Ape
Ultron,Galactus
Ultron,Omega (Marvel Comics)
Ultron,Wonder Man
Ultron,Crystal (comics)
Ultron,Doctor Doom
Ultron,Jocasta (comics)
Ultron,Starfox (comics)
Ultron,Giant-Man
Ultron,Hyperion (comics)
Ultron,Red Skull
Ultron,Adam Warlock
Sin (Marvel Comics),Mother Night (comics)
Sin (Marvel Comics),Sharon Carter
Sin (Marvel Comics),Crossbones (comics)
Sin (Marvel Comics),Thor (Marvel Comics)
Sin (Marvel Comics),Old Man Logan
Sin (Marvel Comics),Helmut Zemo
Sin (Marvel Comics),Aleksander Lukin
Sin (Marvel Comics),Bucky Barnes
Sin (Marvel Comics),Red Skull
Midnight Sun (Marvel Comics),Silver Surfer
Midnight Sun (Marvel Comics),Shockwave (comics)
Midnight Sun (Marvel Comics),Immortus
Midnight Sun (Marvel Comics),Mantis (Marvel Comics)
Midnight Sun (Marvel Comics),Sons of the Tiger
Midnight Sun (Marvel Comics),Zheng Zu
Midnight Sun (Marvel Comics),Kang the Conqueror
Midnight Sun (Marvel Comics),Domino (comics)
Midnight Sun (Marvel Comics),Razor Fist
Shard (comics),Trevor Fitzroy
Shard (comics),Gateway (comics)
Blue Marvel,Luke Cage
Blue Marvel,Shuma-Gorath
Blue Marvel,Uatu
Blue Marvel,Mister Fantastic
Blue Marvel,Thor (Marvel Comics)
Blue Marvel,Kaluu
Blue Marvel,Blade (character)
Blue Marvel,Giant-Man
Blue Marvel,Hyperion (comics)
Isaiah Bradley,Prowler (Marvel Comics)
Isaiah Bradley,Luke Cage
Isaiah Bradley,Storm (Marvel Comics)
Isaiah Bradley,Fantomex
Isaiah Bradley,Turk Barrett
Isaiah Bradley,Patriot (comics)
Isaiah Bradley,Bucky Barnes
Isaiah Bradley,Bruce Banner
Maelstrom (comics),Phyla-Vell
Maelstrom (comics),Karnak (comics)
Maelstrom (comics),Drax the Destroyer
Maelstrom (comics),Gorgon (Inhuman)
Maelstrom (comics),Triton (comics)
Maelstrom (comics),Mister Fantastic
Maelstrom (comics),Thing (comics)
Maelstrom (comics),Stingray (comics)
Maelstrom (comics),Black Bolt
Maelstrom (comics),Doorman (comics)
Maelstrom (comics),Batroc the Leaper
Timebroker,Holocaust (Marvel Comics)
Timebroker,Sasquatch (comics)
Timebroker,Nocturne (Talia Wagner)
Timebroker,Blink (comics)
Obnoxio the Clown,Rick Jones (comics)
Iron Cross (Marvel Comics),Arnim Zola
Iron Cross (Marvel Comics),Deathlok
Iron Cross (Marvel Comics),Red Skull
Iron Cross (Marvel Comics),Bucky Barnes
Doorman (comics),Squirrel Girl
Doorman (comics),Flatman (comics)
Doorman (comics),Maelstrom (comics)
Doorman (comics),Dinah Soar
Doorman (comics),Graviton (comics)
Doorman (comics),Mockingbird (Marvel Comics)
Doorman (comics),Thing (comics)
Doorman (comics),Asbestos Man
Doorman (comics),Hercules (Marvel Comics)
Doorman (comics),Batroc the Leaper
Doorman (comics),Dionysus (Marvel Comics)
Doorman (comics),Deadpool
Doorman (comics),Grasshopper (comics)
Doorman (comics),Gravity (comics)
Black Tarantula,Lady Octopus
Black Tarantula,Eric O'Grady#Black Ant
Black Tarantula,Master Izo
Black Tarantula,Hobgoblin (comics)
Black Tarantula,Bloodscream
Black Tarantula,Kraven the Hunter
Black Tarantula,Delilah (comics)
Black Tarantula,Taskmaster (comics)
Black Tarantula,Deadpool
Black Tarantula,Lady Bullseye
Black Tarantula,Iron Fist (comics)
Black Tarantula,Roughouse
Black Tarantula,Night Nurse (comics)
Black Tarantula,Don Fortunato
Black Tarantula,Dakota North (comics)
Black Tarantula,Bullseye (comics)
Black Tarantula,Spider-Girl (Mayday Parker)
Black Tarantula,Arcade (Marvel Comics)
Black Tarantula,Kaine Parker
